"Gene","Ref1","Ref2","Class"
"VCP","Pearl2015",NA,"DDR"
"VDR",NA,"Medvedeva2015","CM"
"VPS72",NA,"Medvedeva2015","CM"
"VRK1",NA,"Medvedeva2015","CM"
"WAC",NA,"Medvedeva2015","CM"
"WDR48","Pearl2015",NA,"DDR"
"WDR5",NA,"Medvedeva2015","CM"
"WDR77",NA,"Medvedeva2015","CM"
"WDR82",NA,"Medvedeva2015","CM"
"WEE1","Pearl2015",NA,"DDR"
"WHSC1",NA,"Medvedeva2015","CM"
"WHSC1L1",NA,"Medvedeva2015","CM"
"WRAP53","Pearl2015",NA,"DDR"
"WRN","Pearl2015",NA,"DDR"
"WSB2",NA,"Medvedeva2015","CM"
"XAB2","Pearl2015",NA,"DDR"
"XPA","Pearl2015",NA,"DDR"
"XPC","Pearl2015",NA,"DDR"
"XRCC1","Pearl2015",NA,"DDR"
"XRCC2","Pearl2015",NA,"DDR"
"XRCC3","Pearl2015",NA,"DDR"
"XRCC4","Pearl2015",NA,"DDR"
"XRCC5","Pearl2015",NA,"DDR"
"XRCC6","Pearl2015",NA,"DDR"
"XRCC6BP1","Pearl2015",NA,"DDR"
"YAF2",NA,"Medvedeva2015","CM"
"YBX1","Pearl2015",NA,"DDR"
"YEATS2",NA,"Medvedeva2015","CM"
"YEATS4",NA,"Medvedeva2015","CM"
"YWHAB",NA,"Medvedeva2015","CM"
"YWHAE",NA,"Medvedeva2015","CM"
"YWHAZ",NA,"Medvedeva2015","CM"
"YY1",NA,"Medvedeva2015","CM"
"ZBTB16",NA,"Medvedeva2015","CM"
"ZBTB33",NA,"Medvedeva2015","CM"
"ZBTB7C",NA,"Medvedeva2015","CM"
"ZCWPW1",NA,"Medvedeva2015","CM"
"ZFP57",NA,"Medvedeva2015","CM"
"ZGPAT",NA,"Medvedeva2015","CM"
"ZHX1",NA,"Medvedeva2015","CM"
"ZMYM2",NA,"Medvedeva2015","CM"
"ZMYM3",NA,"Medvedeva2015","CM"
"ZMYND11",NA,"Medvedeva2015","CM"
"ZMYND8",NA,"Medvedeva2015","CM"
"ZNF217",NA,"Medvedeva2015","CM"
"ZNF516",NA,"Medvedeva2015","CM"
"ZNF532",NA,"Medvedeva2015","CM"
"ZNF541",NA,"Medvedeva2015","CM"
"ZNF592",NA,"Medvedeva2015","CM"
"ZNF687",NA,"Medvedeva2015","CM"
"ZNF711",NA,"Medvedeva2015","CM"
"ZNHIT1",NA,"Medvedeva2015","CM"
"ZRANB3","Pearl2015","Medvedeva2015","DDR-CM"
"ZSWIM7","Pearl2015",NA,"DDR"
"ZZZ3",NA,"Medvedeva2015","CM"
